"between.v1","between.v2","between.P.1..2","between.P.1..2.1","between.pcor","between.cor"
"guilty","shame",0,0,0.578,0.998
"overvalwtsh","shame",0.533,0.276,0.033,0.673
"overvalwtsh","guilty",0.125,0.117,-0.212,0.667
"worryoverwhelm","shame",0.028,0.038,0.284,0.995
"worryoverwhelm","guilty",0.139,0.174,-0.187,0.994
"worryoverwhelm","overvalwtsh",0.249,0.762,-0.103,0.685
"fearloc","shame",0.725,0.716,0.049,0.952
"fearloc","guilty",0.807,0.781,0.003,0.953
"fearloc","overvalwtsh",0.617,0.469,0.085,0.7
"fearloc","worryoverwhelm",0.002,0.005,-0.38,0.947
"mistakes","shame",0.078,0.49,-0.17,0.989
"mistakes","guilty",0.033,0.002,0.32,0.991
"mistakes","overvalwtsh",0.329,0.292,0.139,0.689
"mistakes","worryoverwhelm",0.021,0.002,0.347,0.991
"mistakes","fearloc",0.054,0.189,0.217,0.954
"emo_overwhelm","shame",0.752,0.906,0.014,0.982
"emo_overwhelm","guilty",0.224,0.634,0.049,0.981
"emo_overwhelm","overvalwtsh",0.011,0.031,0.3,0.718
"emo_overwhelm","worryoverwhelm",0,0,0.614,0.989
"emo_overwhelm","fearloc",0.007,0,0.409,0.956
"emo_overwhelm","mistakes",0.798,0.926,-0.023,0.982
"ineffective","shame",0.074,0.818,0.142,0.997
"ineffective","guilty",0,0,0.546,0.998
"ineffective","overvalwtsh",0.466,0.249,0.132,0.676
"ineffective","worryoverwhelm",0.001,0.006,0.412,0.995
"ineffective","fearloc",0.313,0.104,0.182,0.953
"ineffective","mistakes",0.628,0.834,-0.048,0.99
"ineffective","emo_overwhelm",0.11,0.079,-0.231,0.981
