"names","n_count","mean_strength","sd_strength","mean_rank","sd_rank","study1_meancent","study1_meanrank","cent_zscore","rank_zscore","prob_cent","prob_rank"
"alwaysworry",255,0.508456899603421,0.125175811645655,3.05490196078431,2.01688870526006,0.477379802168463,2.2801724137931,0.248267592807231,0.384121119311497,"0.402","0.650"
"avoid_emo",246,0.381948786668376,0.0977743450940284,5.02032520325203,2.08678873888805,0.235626428692768,6.49756097560976,1.49653119982436,-0.707899053137921,"0.067","0.240"
"avoidfood",239,0.268650686786693,0.111184085347612,6.39958158995816,1.78590414236321,0.327761818045079,4.64377682403433,-0.531651009886688,0.983146141091562,"0.297","0.837"
"binge",256,0.179553816294447,0.0946474005873048,7.390625,1.06077570581118,0.203133869560219,6.98039215686275,-0.249135772556379,0.38672910860411,"0.402","0.651"
"bodycheck",220,0.427165247206368,0.105904777099582,4.26363636363636,2.17783467816766,0.274545799703506,5.6144578313253,1.44110069141974,-0.620258957776107,"0.075","0.268"
"bodydiss",242,0.530603253329591,0.114295629163101,2.64462809917355,1.57711593562233,0.405485140262693,3.44444444444445,1.09468851943895,-0.507138585823297,"0.137","0.306"
"cogrest",232,0.424281981576808,0.0947017383751773,4.31465517241379,2.13812048022054,0.229935863417014,6.2984496124031,2.05219166505537,-0.92782163509546,"0.020","0.177"
"drivethin",269,0.472697107760648,0.0991023590680565,3.55390334572491,1.80015380923179,0.358654673246846,4.27853881278539,1.15075398392368,-0.402540862533139,"0.125","0.344"
"eatanx",234,0.4951356220421,0.1091923656329,3.17521367521368,2.06318250699041,0.368094097759901,4.03813559322034,1.1634652619333,-0.418247981011344,"0.122","0.338"
"eatpublic",249,0.277742504874218,0.0866896828110082,6.59036144578313,1.44832615772579,0.179071708659338,7.23387096774194,1.1382069124649,-0.444312573190878,"0.128","0.328"
"emo_overwhelm",241,0.427847454741552,0.115671394992354,4.20746887966805,2.12683896508468,0.428018907829374,3.01869158878505,-0.00148224276047643,0.558940902625258,"0.499","0.712"
"exercise",243,0.275291649591506,0.0825210014032128,6.52674897119342,1.43822682909573,0.244638702178185,6.31004366812227,0.371456318901726,0.150675330682989,"0.355","0.560"
"fearloc",246,0.507024051625991,0.0988663508592302,3.04471544715447,1.94255053261438,0.47347170507036,2.28685258964143,0.339370739023278,0.390138040060697,"0.367","0.652"
"feelfat",256,0.481950877992168,0.141541389680013,3.57421875,2.02783555406096,0.292813519260236,5.68534482758621,1.33626891158494,-1.04107360843854,"0.091","0.149"
"food_intrus",256,0.331822906573156,0.0868346670999507,5.71875,1.74417799055747,0.323407793258246,4.92561983471074,0.0969096052988082,0.454730061715638,"0.461","0.675"
"foodrules",258,0.301958962764991,0.1029542605875,6.18604651162791,1.75887938263349,0.273726716256107,5.72764227642276,0.274221254640454,0.260622894174128,"0.392","0.603"
"fowg",276,0.44274544912137,0.115848029290312,4.07246376811594,1.83555859680884,0.350511246272791,4.52380952380952,0.796165488645843,-0.245890137464559,"0.213","0.403"
"guilt",245,0.528654987462044,0.130754914981097,2.86530612244898,1.499392092719,0.550318034985693,1.89024390243902,-0.165676735951234,0.650305030115089,"0.434","0.742"
"highstand",249,0.263593938392564,0.096100080011783,6.73895582329317,1.26687341914547,0.242832317008866,6.3135593220339,0.216041665950252,0.335784534453501,"0.414","0.631"
"hungeranx",245,0.32713514499693,0.108678505389039,5.72040816326531,1.94398816782778,0.288827041007005,5.64601769911504,0.352490162178739,0.0382669325777773,"0.362","0.515"
"ineffective",235,0.430606502340425,0.103308534213202,4.13617021276596,1.72914008715005,0.413820544260568,3.19711538461538,0.162483750328071,0.543076200204411,"0.435","0.706"
"interocept",225,0.3704343779387,0.143972877047614,5.16444444444444,2.24495024160928,0.236350314910065,6.48,0.93131474329218,-0.586006554253294,"0.176","0.279"
"iuc",263,0.382501980946772,0.0954838039620013,4.89733840304183,1.84745351549546,0.371888611965395,4.28240740740741,0.111153604496118,0.332853298054161,"0.456","0.630"
"mistakes",255,0.525102097782665,0.108271466195728,2.72941176470588,1.75948432379712,0.372046432048108,4.08936170212766,1.41362882680345,-0.772925293524005,"0.079","0.220"
"obsess",268,0.55687440080611,0.100102007745553,2.44776119402985,1.57967978634986,0.377715472061314,4.1255230125523,1.78976358995911,-1.0620898191014,"0.037","0.144"
"overval",235,0.494385082054551,0.093154090058299,3.09787234042553,1.76474125384859,0.482179329514405,2.27391304347826,0.131027553728536,0.466900909779471,"0.448","0.680"
"pays_sens",277,0.383896159430415,0.131721521178947,4.9927797833935,2.24414339195333,0.27884575060843,5.73279352226721,0.797518946651635,-0.329753322148274,"0.213","0.371"
"reject",273,0.426794484692674,0.0960013917752681,4.17582417582418,1.99959595142924,0.376259089779715,4.05263157894737,0.526402732069333,0.0616087449010657,"0.299","0.525"
"relax",247,0.401647056864178,0.0897818976258242,4.65182186234818,1.8123971012697,0.370691453730117,3.87866108786611,0.344786688103563,0.426595680350856,"0.365","0.665"
"ruminate",253,0.32420571138629,0.0817247073554582,5.77470355731225,1.77522422322516,0.387203069595881,3.85217391304348,-0.770848379249446,1.08297848751522,"0.220","0.861"
"saa",272,0.428272914513459,0.0917817709535722,4.31985294117647,1.88132480027351,0.357629974185052,4.38260869565217,0.769683779191211,-0.0333572142708048,"0.221","0.487"
"shame",240,0.550567579540842,0.112068250633595,2.525,1.45482892350019,0.55593266503369,1.80694980694981,-0.0478733759340054,0.493563319680659,"0.481","0.689"
