"graph","type","node","measure","value"
"graph 1",NA,"bodydiss","Betweenness",0.396071344532976
"graph 1",NA,"feelfat","Betweenness",-0.871356957972547
"graph 1",NA,"fowg","Betweenness",-0.871356957972547
"graph 1",NA,"urge_restrict","Betweenness",-0.871356957972547
"graph 1",NA,"mistakes","Betweenness",-0.871356957972547
"graph 1",NA,"desirethin","Betweenness",1.45226159662091
"graph 1",NA,"overvalwtsh","Betweenness",1.24102354620332
"graph 1",NA,"highstand","Betweenness",0.396071344532976
"graph 1",NA,"bodydiss","Closeness",0.748372328630933
"graph 1",NA,"feelfat","Closeness",0.144208805501135
"graph 1",NA,"fowg","Closeness",-0.223580684321071
"graph 1",NA,"urge_restrict","Closeness",-0.844552434361409
"graph 1",NA,"mistakes","Closeness",-1.74807755039778
"graph 1",NA,"desirethin","Closeness",1.05802510478056
"graph 1",NA,"overvalwtsh","Closeness",1.17646133795351
"graph 1",NA,"highstand","Closeness",-0.310856907785877
"graph 1",NA,"bodydiss","Strength",1.00132222232668
"graph 1",NA,"feelfat","Strength",-0.459651999725198
"graph 1",NA,"fowg","Strength",-0.686733389173456
"graph 1",NA,"urge_restrict","Strength",-0.649081369668743
"graph 1",NA,"mistakes","Strength",-1.32617746256674
"graph 1",NA,"desirethin","Strength",1.48945635330427
"graph 1",NA,"overvalwtsh","Strength",0.914157238493174
"graph 1",NA,"highstand","Strength",-0.283291592989977
"graph 1",NA,"bodydiss","ExpectedInfluence",-0.0571082339647648
"graph 1",NA,"feelfat","ExpectedInfluence",-0.027439469946146
"graph 1",NA,"fowg","ExpectedInfluence",-0.355434118821493
"graph 1",NA,"urge_restrict","ExpectedInfluence",-0.30104982538863
"graph 1",NA,"mistakes","ExpectedInfluence",-1.68506706277062
"graph 1",NA,"desirethin","ExpectedInfluence",0.241924289215419
"graph 1",NA,"overvalwtsh","ExpectedInfluence",1.95688024822175
"graph 1",NA,"highstand","ExpectedInfluence",0.227294173454484
