"contemporaneous.v1","contemporaneous.v2","contemporaneous.P.1..2","contemporaneous.P.1..2.1","contemporaneous.pcor","contemporaneous.ran_SD_pcor","contemporaneous.cor","contemporaneous.ran_SD_cor"
"feelfat","bodydiss",0,0,0.319,0.131,0.417,0.151
"fowg","bodydiss",0,0.001,0.11,0.075,0.276,0.108
"fowg","feelfat",0,0,0.216,0.069,0.336,0.113
"urge_restrict","bodydiss",0,0,0.099,0.047,0.196,0.092
"urge_restrict","feelfat",0.004,0.016,0.069,0.027,0.179,0.077
"urge_restrict","fowg",0.008,0.001,0.081,0.047,0.171,0.075
"mistakes","bodydiss",0.07,0.073,0.074,0.127,0.162,0.162
"mistakes","feelfat",0.665,0.732,0.01,0.021,0.115,0.092
"mistakes","fowg",0.026,0.122,0.054,0.044,0.132,0.083
"mistakes","urge_restrict",0.291,0.369,0.024,0.016,0.088,0.055
"desirethin","bodydiss",0.058,0.015,0.066,0.064,0.225,0.11
"desirethin","feelfat",0.001,0.001,0.094,0.047,0.236,0.124
"desirethin","fowg",0.001,0.001,0.137,0.144,0.253,0.177
"desirethin","urge_restrict",0.076,0.054,0.054,0.056,0.144,0.077
"desirethin","mistakes",0.273,0.23,0.031,0.042,0.133,0.105
"overvalwtsh","bodydiss",0.002,0.002,0.097,0.056,0.222,0.105
"overvalwtsh","feelfat",0.262,0.197,0.032,0.033,0.18,0.11
"overvalwtsh","fowg",0.138,0.113,0.055,0.096,0.185,0.137
"overvalwtsh","urge_restrict",0.124,0.159,0.035,0.004,0.122,0.055
"overvalwtsh","mistakes",0.006,0.001,0.102,0.077,0.181,0.127
"overvalwtsh","desirethin",0,0,0.249,0.082,0.327,0.121
"highstand","bodydiss",0.159,0.425,0.051,0.153,0.143,0.173
"highstand","feelfat",0.56,0.547,0.018,0.055,0.109,0.111
"highstand","fowg",0.688,0.941,0.009,0.087,0.099,0.072
"highstand","urge_restrict",0.166,0.135,0.05,0.088,0.104,0.08
"highstand","mistakes",0,0,0.191,0.05,0.233,0.082
"highstand","desirethin",0.005,0.031,0.065,0.03,0.15,0.092
"highstand","overvalwtsh",0.007,0.004,0.087,0.067,0.171,0.112
